year,utc_hour,observations,movement_events,event_rate,event_rate_percent
2023,22,364,39,0.10714285714285714,10.714285714285714
2023,23,364,30,0.08241758241758242,8.241758241758241
2024,0,366,28,0.07650273224043716,7.650273224043716
2024,1,366,30,0.08196721311475409,8.19672131147541
2024,2,366,28,0.07650273224043716,7.650273224043716
2024,3,366,11,0.030054644808743168,3.0054644808743167
2024,4,366,8,0.02185792349726776,2.185792349726776
2024,5,366,4,0.01092896174863388,1.092896174863388
2024,6,366,15,0.040983606557377046,4.098360655737705
2024,7,366,18,0.04918032786885246,4.918032786885246
2024,8,366,22,0.060109289617486336,6.0109289617486334
2024,9,366,16,0.04371584699453552,4.371584699453552
2024,10,366,15,0.040983606557377046,4.098360655737705
2024,11,366,13,0.03551912568306011,3.551912568306011
2024,12,366,40,0.1092896174863388,10.92896174863388
2024,13,366,71,0.19398907103825136,19.398907103825135
2024,14,366,115,0.31420765027322406,31.420765027322407
2024,15,366,83,0.226775956284153,22.6775956284153
2024,16,366,51,0.13934426229508196,13.934426229508196
2024,17,366,52,0.14207650273224043,14.207650273224044
2024,18,366,30,0.08196721311475409,8.19672131147541
2024,19,366,28,0.07650273224043716,7.650273224043716
2024,20,366,32,0.08743169398907104,8.743169398907105
2024,21,366,27,0.07377049180327869,7.377049180327869
2024,22,366,33,0.09016393442622951,9.01639344262295
2024,23,366,22,0.060109289617486336,6.0109289617486334
2025,0,365,28,0.07671232876712329,7.671232876712329
2025,1,365,30,0.0821917808219178,8.21917808219178
2025,2,365,25,0.0684931506849315,6.8493150684931505
2025,3,365,12,0.03287671232876712,3.287671232876712
2025,4,365,13,0.03561643835616438,3.5616438356164384
2025,5,365,4,0.010958904109589041,1.095890410958904
2025,6,365,7,0.019178082191780823,1.9178082191780823
2025,7,365,13,0.03561643835616438,3.5616438356164384
2025,8,365,11,0.030136986301369864,3.0136986301369864
2025,9,365,24,0.06575342465753424,6.575342465753424
2025,10,365,13,0.03561643835616438,3.5616438356164384
2025,11,365,16,0.043835616438356165,4.383561643835616
2025,12,365,28,0.07671232876712329,7.671232876712329
2025,13,365,68,0.1863013698630137,18.63013698630137
2025,14,365,114,0.31232876712328766,31.232876712328768
2025,15,365,63,0.1726027397260274,17.26027397260274
2025,16,365,37,0.10136986301369863,10.136986301369863
2025,17,365,36,0.09863013698630137,9.863013698630137
2025,18,365,24,0.06575342465753424,6.575342465753424
2025,19,365,25,0.0684931506849315,6.8493150684931505
2025,20,365,24,0.06575342465753424,6.575342465753424
2025,21,365,22,0.06027397260273973,6.027397260273973
2025,22,365,28,0.07671232876712329,7.671232876712329
2025,23,365,18,0.049315068493150684,4.931506849315069
